Date,Close,High,Low,Open,Volume,value,value_classification,timestamp,time_until_update,US Dollar Index,Federal Funds Rate,SMA50,SMA200,delta,gain,loss,avg_gain,avg_loss,rs,RSI,MA20,stddev,UpperBand,LowerBand,Daily_Return
2018-02-01,9170.5400390625,10288.7998046875,8812.2802734375,10237.2998046875,9959400448,30,Fear,1517443200,,88.66999816894531,1.42,,,,0.0,-0.0,,,,,,,,,
2018-02-02,8830.75,9142.2802734375,7796.490234375,9142.2802734375,12726899712,15,Extreme Fear,1517529600,,89.19999694824219,1.42,,,-339.7900390625,0.0,339.7900390625,,,,,,,,,-3.7052347802326024
2018-02-05,6955.27001953125,8364.83984375,6756.68017578125,8270.5400390625,9285289984,11,Extreme Fear,1517788800,,89.55000305175781,1.42,,,-1875.47998046875,0.0,1875.47998046875,,,,,,,,,-21.23805996624013
2018-02-06,7754.0,7850.7001953125,6048.259765625,7051.75,13999800320,8,Extreme Fear,1517875200,,89.58999633789062,1.42,,,798.72998046875,798.72998046875,-0.0,,,,,,,,,11.483809805022926
2018-02-07,7621.2998046875,8509.1103515625,7236.7900390625,7755.490234375,9169280000,36,Fear,1517961600,,90.26000213623048,1.42,,,-132.7001953125,0.0,132.7001953125,,,,,,,,,-1.7113772931712679
2018-02-08,8265.58984375,8558.76953125,7637.85986328125,7637.85986328125,9346750464,30,Fear,1518048000,,90.2300033569336,1.42,,,644.2900390625,644.2900390625,-0.0,,,,,,,,,8.453807822469184
2018-02-09,8736.98046875,8736.98046875,7884.7099609375,8271.83984375,6784820224,44,Fear,1518134400,,90.44000244140624,1.42,,,471.390625,471.390625,-0.0,,,,,,,,,5.703048831493129
2018-02-12,8926.5703125,8985.919921875,8141.43017578125,8141.43017578125,6256439808,42,Fear,1518393600,,90.20999908447266,1.42,,,189.58984375,189.58984375,-0.0,,,,,,,,,2.1699698703472547
2018-02-13,8598.3095703125,8958.4697265625,8455.41015625,8926.7197265625,5696719872,35,Fear,1518480000,,89.69999694824219,1.42,,,-328.2607421875,0.0,328.2607421875,,,,,,,,,-3.6773444973354663
2018-02-14,9494.6298828125,9518.5400390625,8599.919921875,8599.919921875,7909819904,55,Greed,1518566400,,89.12000274658203,1.42,,,896.3203125,896.3203125,-0.0,,,,,,,,,10.424378247495735
